epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5882.97,0.83476,1.48931,1.24092,0.8089,0.73563,0.79291,0.62059,0.81401,1.00094,1.2532,0.008614,0.008614,0.008614
44,6018.37,0.82831,1.47006,1.23939,0.80801,0.74924,0.80559,0.62708,0.80476,0.99214,1.2399,0.008581,0.008581,0.008581
45,6153.48,0.82701,1.46043,1.23637,0.83107,0.74643,0.80732,0.63331,0.80255,0.98476,1.23857,0.008548,0.008548,0.008548
46,6288.62,0.82276,1.43241,1.23407,0.86384,0.72163,0.80425,0.63886,0.80271,0.97523,1.24121,0.008515,0.008515,0.008515
47,6423.87,0.82884,1.4588,1.24081,0.82005,0.75547,0.81135,0.63949,0.79727,0.97098,1.23356,0.008482,0.008482,0.008482
48,6559.28,0.82138,1.42581,1.23243,0.8502,0.74221,0.81263,0.6415,0.79728,0.95772,1.23784,0.008449,0.008449,0.008449
49,6694.88,0.81991,1.42531,1.2349,0.84591,0.7443,0.81614,0.64422,0.79254,0.94988,1.23271,0.008416,0.008416,0.008416
50,6829.71,0.82297,1.41898,1.23725,0.83755,0.75698,0.81522,0.64078,0.78907,0.94755,1.22866,0.008383,0.008383,0.008383
51,6964.98,0.81835,1.39374,1.22914,0.82688,0.78085,0.81627,0.64596,0.78618,0.93827,1.22876,0.00835,0.00835,0.00835
52,7100.4,0.81013,1.38244,1.22711,0.83498,0.76602,0.81786,0.64693,0.77988,0.93387,1.22227,0.008317,0.008317,0.008317
53,7235.09,0.80732,1.36799,1.22193,0.84333,0.77352,0.82402,0.65267,0.78406,0.92618,1.22658,0.008284,0.008284,0.008284
54,7370.21,0.80675,1.36614,1.22354,0.83494,0.7888,0.83142,0.65838,0.78097,0.91847,1.22336,0.008251,0.008251,0.008251
55,7504.73,0.79747,1.34579,1.2191,0.85804,0.77152,0.83477,0.66228,0.77665,0.91695,1.21953,0.008218,0.008218,0.008218
56,7640.03,0.80376,1.34616,1.21781,0.86383,0.76996,0.83571,0.66235,0.77172,0.91713,1.21525,0.008185,0.008185,0.008185
57,7776.08,0.80394,1.33958,1.22212,0.86245,0.77584,0.83506,0.663,0.77063,0.90816,1.21361,0.008152,0.008152,0.008152
58,7910.87,0.79031,1.32829,1.21154,0.85369,0.78789,0.8347,0.66362,0.76818,0.90499,1.21238,0.008119,0.008119,0.008119
59,8045.3,0.80168,1.32648,1.21956,0.85921,0.77485,0.83066,0.6629,0.7655,0.89866,1.21203,0.008086,0.008086,0.008086
60,8179.61,0.79352,1.31905,1.21053,0.83479,0.79147,0.8335,0.66554,0.764,0.89525,1.20992,0.008053,0.008053,0.008053
61,8314.86,0.79413,1.31417,1.21268,0.86436,0.76753,0.83499,0.66858,0.76202,0.89022,1.20642,0.00802,0.00802,0.00802
62,8450.27,0.79046,1.28834,1.20559,0.84585,0.77963,0.83435,0.66679,0.75835,0.89063,1.20312,0.007987,0.007987,0.007987
63,8585.21,0.79821,1.29703,1.21398,0.85964,0.78246,0.83351,0.66922,0.75428,0.88796,1.19788,0.007954,0.007954,0.007954
64,8720.47,0.7895,1.27792,1.20842,0.86264,0.78301,0.83512,0.67154,0.75432,0.88522,1.19721,0.007921,0.007921,0.007921
65,8855.44,0.79456,1.28587,1.21137,0.85468,0.78755,0.83392,0.67283,0.75472,0.8802,1.19731,0.007888,0.007888,0.007888
66,8990.23,0.78817,1.26919,1.20507,0.86433,0.7772,0.83342,0.67412,0.75276,0.88107,1.19549,0.007855,0.007855,0.007855
67,9126.22,0.79265,1.28767,1.20795,0.86791,0.77786,0.83297,0.67553,0.75083,0.88037,1.19344,0.007822,0.007822,0.007822
68,9260.95,0.77948,1.2596,1.20233,0.86933,0.77983,0.83367,0.6776,0.74908,0.88055,1.19096,0.007789,0.007789,0.007789
69,9396.93,0.78604,1.25198,1.20601,0.868,0.78068,0.83679,0.67856,0.74867,0.87736,1.19112,0.007756,0.007756,0.007756
70,9532.27,0.77428,1.24809,1.19957,0.86847,0.78245,0.83942,0.68236,0.74745,0.87456,1.18962,0.007723,0.007723,0.007723
71,9667.15,0.77857,1.24284,1.19876,0.8629,0.78609,0.84061,0.68284,0.74676,0.87111,1.18932,0.00769,0.00769,0.00769
72,9802.53,0.77763,1.2434,1.19909,0.86845,0.78287,0.8414,0.68441,0.74685,0.86797,1.18936,0.007657,0.007657,0.007657
73,9938.41,0.77802,1.22862,1.20128,0.87181,0.78231,0.84222,0.68492,0.74635,0.86424,1.18926,0.007624,0.007624,0.007624
74,10073.6,0.7739,1.22086,1.19723,0.86185,0.79093,0.84171,0.68418,0.74543,0.86129,1.18854,0.007591,0.007591,0.007591
75,10208.6,0.77086,1.224,1.19338,0.86379,0.79221,0.84064,0.68366,0.74365,0.8581,1.18665,0.007558,0.007558,0.007558
76,10344.6,0.77041,1.2203,1.19133,0.86732,0.7882,0.83958,0.68328,0.74223,0.85528,1.18551,0.007525,0.007525,0.007525
77,10480.3,0.7718,1.20608,1.19634,0.86631,0.79066,0.84114,0.6852,0.74134,0.85393,1.18529,0.007492,0.007492,0.007492
78,10615.3,0.77088,1.20677,1.19392,0.86747,0.79184,0.84215,0.68624,0.74013,0.85272,1.18482,0.007459,0.007459,0.007459
79,10750.3,0.76876,1.19695,1.19079,0.8691,0.79216,0.84418,0.68804,0.73881,0.85045,1.18416,0.007426,0.007426,0.007426
80,10886,0.7673,1.20492,1.19114,0.86987,0.79578,0.84391,0.6878,0.73835,0.84917,1.1846,0.007393,0.007393,0.007393
81,11021.2,0.76737,1.19481,1.19259,0.87233,0.79583,0.84336,0.68732,0.73917,0.84701,1.18547,0.00736,0.00736,0.00736
82,11156,0.7704,1.18775,1.1949,0.87249,0.79544,0.84295,0.68874,0.73857,0.84454,1.1853,0.007327,0.007327,0.007327
83,11293.1,0.76318,1.184,1.19035,0.87007,0.7969,0.84403,0.68896,0.73908,0.8427,1.18581,0.007294,0.007294,0.007294
84,11430.1,0.75801,1.17429,1.18446,0.86686,0.79943,0.84444,0.6895,0.73934,0.84118,1.18623,0.007261,0.007261,0.007261
85,11565.3,0.76313,1.174,1.18693,0.86526,0.80021,0.84324,0.69013,0.73861,0.83976,1.18584,0.007228,0.007228,0.007228
86,11701.9,0.76362,1.16825,1.1866,0.86607,0.79887,0.84322,0.69103,0.737,0.83869,1.18439,0.007195,0.007195,0.007195
87,11837.6,0.75385,1.15187,1.17956,0.86679,0.79944,0.8435,0.69071,0.73594,0.8374,1.18384,0.007162,0.007162,0.007162
88,11973,0.75757,1.15173,1.18297,0.86742,0.80027,0.84521,0.69111,0.73486,0.83572,1.18269,0.007129,0.007129,0.007129
89,12109.1,0.75799,1.16035,1.18332,0.86791,0.80123,0.84459,0.69129,0.73433,0.83571,1.18234,0.007096,0.007096,0.007096
90,12244.8,0.75734,1.15743,1.18401,0.86761,0.8009,0.84422,0.69122,0.73436,0.83499,1.18257,0.007063,0.007063,0.007063
91,12379.7,0.75156,1.13884,1.18044,0.87086,0.79939,0.84492,0.6917,0.73334,0.83473,1.18165,0.00703,0.00703,0.00703
92,12515.3,0.74739,1.13617,1.17686,0.87042,0.79802,0.84621,0.69335,0.73276,0.83347,1.18149,0.006997,0.006997,0.006997
93,12652.6,0.75369,1.14706,1.18056,0.87322,0.79677,0.84676,0.6936,0.73236,0.83327,1.18148,0.006964,0.006964,0.006964
94,12790.2,0.75202,1.13925,1.18106,0.86712,0.80258,0.84719,0.69404,0.7321,0.83286,1.18146,0.006931,0.006931,0.006931
95,12928.6,0.74542,1.12896,1.1757,0.86672,0.80342,0.8472,0.69442,0.73197,0.83245,1.18152,0.006898,0.006898,0.006898
96,13066.7,0.74658,1.12111,1.17757,0.86826,0.80344,0.84829,0.69549,0.73169,0.83161,1.18138,0.006865,0.006865,0.006865
97,13201.8,0.75159,1.13897,1.18197,0.86803,0.8037,0.84768,0.69513,0.73117,0.83214,1.18066,0.006832,0.006832,0.006832
98,13338.6,0.74815,1.12464,1.17413,0.86801,0.80439,0.84803,0.69523,0.73086,0.8316,1.18018,0.006799,0.006799,0.006799
99,13474.1,0.74599,1.12487,1.17466,0.86964,0.80284,0.84821,0.6952,0.73048,0.83098,1.17963,0.006766,0.006766,0.006766
100,13609.7,0.74467,1.12443,1.17581,0.87217,0.80186,0.84869,0.69587,0.72985,0.83017,1.17905,0.006733,0.006733,0.006733
101,13745.5,0.74132,1.10955,1.17068,0.87164,0.80234,0.84934,0.69629,0.72967,0.82935,1.179,0.0067,0.0067,0.0067
102,13882.7,0.74007,1.10773,1.17193,0.86987,0.8057,0.85005,0.69536,0.72872,0.82897,1.17805,0.006667,0.006667,0.006667
103,14018.8,0.73985,1.10335,1.17597,0.86818,0.80774,0.85027,0.69571,0.72796,0.82718,1.17764,0.006634,0.006634,0.006634
104,14153.1,0.73854,1.1026,1.16985,0.86863,0.80888,0.85067,0.69576,0.72781,0.82694,1.17738,0.006601,0.006601,0.006601
105,14287.5,0.73586,1.09798,1.17168,0.869,0.80879,0.85101,0.69638,0.72761,0.82605,1.17709,0.006568,0.006568,0.006568
106,14422.5,0.74079,1.09803,1.16857,0.8688,0.80926,0.85076,0.69609,0.72733,0.82551,1.17658,0.006535,0.006535,0.006535
107,14557.4,0.73616,1.0953,1.1686,0.86989,0.80904,0.85075,0.69615,0.72674,0.82459,1.17584,0.006502,0.006502,0.006502
108,14693.1,0.74489,1.10258,1.17498,0.86942,0.8079,0.85067,0.69595,0.7261,0.82434,1.17548,0.006469,0.006469,0.006469
109,14828.6,0.73442,1.08115,1.16551,0.86925,0.8071,0.85033,0.69672,0.7256,0.82286,1.17523,0.006436,0.006436,0.006436
110,14964.5,0.73173,1.07899,1.16598,0.87006,0.80788,0.85058,0.69696,0.72458,0.82215,1.17365,0.006403,0.006403,0.006403
111,15100.2,0.73551,1.08033,1.1685,0.86992,0.80903,0.8506,0.69712,0.72404,0.82158,1.17343,0.00637,0.00637,0.00637
112,15235.6,0.73653,1.08607,1.16953,0.87358,0.80763,0.85078,0.69745,0.72355,0.82085,1.17309,0.006337,0.006337,0.006337
113,15372.8,0.73323,1.08146,1.16694,0.87547,0.80214,0.85074,0.69741,0.72265,0.82001,1.17238,0.006304,0.006304,0.006304
114,15508.6,0.73203,1.07453,1.16618,0.87803,0.80408,0.85076,0.69691,0.72213,0.8195,1.17207,0.006271,0.006271,0.006271
115,15644.6,0.72832,1.06338,1.16369,0.87751,0.8059,0.8507,0.69703,0.72133,0.81844,1.17128,0.006238,0.006238,0.006238
116,15780,0.72862,1.06015,1.16144,0.8761,0.80423,0.8506,0.6974,0.7212,0.81754,1.17173,0.006205,0.006205,0.006205
117,15915.2,0.72459,1.06261,1.15836,0.87579,0.80717,0.85046,0.69721,0.72089,0.81661,1.17127,0.006172,0.006172,0.006172
118,16050,0.72464,1.05358,1.16006,0.87707,0.80741,0.8511,0.69694,0.72079,0.8158,1.17108,0.006139,0.006139,0.006139
119,16185,0.7216,1.05526,1.15761,0.87726,0.80687,0.85079,0.69635,0.72052,0.81441,1.17105,0.006106,0.006106,0.006106
120,16319.5,0.72117,1.06489,1.15921,0.87535,0.81058,0.85109,0.69682,0.72033,0.81391,1.1709,0.006073,0.006073,0.006073
121,16454.1,0.71938,1.04711,1.15752,0.87726,0.80904,0.85068,0.69748,0.72019,0.81321,1.17084,0.00604,0.00604,0.00604
122,16589,0.72578,1.04446,1.15605,0.87344,0.81141,0.85079,0.69711,0.71974,0.81209,1.17055,0.006007,0.006007,0.006007
123,16724.2,0.72119,1.05263,1.15755,0.87837,0.80858,0.851,0.6974,0.71929,0.81125,1.17031,0.005974,0.005974,0.005974
124,16859.3,0.71849,1.04123,1.15198,0.87289,0.81387,0.8513,0.69771,0.7192,0.81087,1.17043,0.005941,0.005941,0.005941
125,16994.7,0.72134,1.03741,1.15796,0.87367,0.81402,0.85151,0.69831,0.71922,0.81052,1.1705,0.005908,0.005908,0.005908
126,17130.6,0.71981,1.03597,1.15249,0.8734,0.81397,0.85175,0.69778,0.71926,0.80989,1.17068,0.005875,0.005875,0.005875
127,17265.9,0.71708,1.03019,1.15495,0.87295,0.81436,0.8517,0.69867,0.71916,0.80929,1.17071,0.005842,0.005842,0.005842
128,17401.8,0.71296,1.03194,1.15448,0.87396,0.81341,0.8513,0.69744,0.71832,0.8091,1.16957,0.005809,0.005809,0.005809
129,17538.3,0.71917,1.02937,1.15547,0.87573,0.81237,0.8515,0.6981,0.71875,0.80823,1.17005,0.005776,0.005776,0.005776
130,17676.2,0.71439,1.03599,1.15452,0.87486,0.81218,0.85146,0.69864,0.71917,0.80795,1.1706,0.005743,0.005743,0.005743
131,17812.9,0.7178,1.02494,1.15187,0.877,0.81143,0.85149,0.69856,0.71866,0.80755,1.16997,0.00571,0.00571,0.00571
132,17948,0.71821,1.02323,1.15493,0.87821,0.8099,0.85133,0.69788,0.71786,0.80678,1.16911,0.005677,0.005677,0.005677
133,18083.8,0.71436,1.0296,1.15082,0.8784,0.80922,0.8512,0.69885,0.7176,0.80605,1.16869,0.005644,0.005644,0.005644
134,18219.5,0.70626,1.00986,1.14862,0.87938,0.80811,0.85107,0.69821,0.71762,0.80491,1.16858,0.005611,0.005611,0.005611
135,18354.9,0.71096,1.01505,1.15322,0.87848,0.80729,0.85115,0.69862,0.71715,0.80485,1.16809,0.005578,0.005578,0.005578
136,18489.8,0.71695,1.02437,1.15267,0.87793,0.80477,0.85117,0.69939,0.7174,0.80429,1.1683,0.005545,0.005545,0.005545
137,18625.6,0.71665,1.0203,1.15568,0.87811,0.805,0.85124,0.69916,0.71705,0.80357,1.16774,0.005512,0.005512,0.005512
138,18761.7,0.70376,0.99619,1.14636,0.87804,0.80168,0.85149,0.6993,0.7163,0.80331,1.16708,0.005479,0.005479,0.005479
139,18896.9,0.70914,1.00151,1.14841,0.8792,0.80215,0.8517,0.69918,0.71581,0.80287,1.16638,0.005446,0.005446,0.005446
140,19032,0.70754,1.00137,1.14967,0.88083,0.80057,0.85169,0.6995,0.71574,0.8018,1.16606,0.005413,0.005413,0.005413
141,19168.5,0.70847,1.00511,1.14844,0.88684,0.79684,0.85198,0.69923,0.71533,0.8014,1.1655,0.00538,0.00538,0.00538
142,19303.7,0.70345,0.99175,1.14487,0.88863,0.79461,0.85189,0.69928,0.71531,0.80069,1.1654,0.005347,0.005347,0.005347
143,19438.8,0.70494,0.98853,1.14797,0.88659,0.79476,0.85179,0.6997,0.71491,0.80027,1.16488,0.005314,0.005314,0.005314
144,19575,0.70378,0.99242,1.14414,0.8862,0.79504,0.8517,0.70102,0.71439,0.79987,1.16445,0.005281,0.005281,0.005281
145,19710.7,0.69586,0.98006,1.13825,0.88201,0.7979,0.85207,0.70084,0.71383,0.79928,1.16398,0.005248,0.005248,0.005248
146,19846.1,0.70099,0.97977,1.14066,0.88246,0.79756,0.85235,0.70104,0.71322,0.79911,1.1633,0.005215,0.005215,0.005215
147,19982.7,0.7034,0.98582,1.14524,0.86032,0.81678,0.85186,0.70147,0.71297,0.79803,1.16303,0.005182,0.005182,0.005182
